id,comment,sentiment
0,涉及党内有争议尚未做出结论的重大问题以及重大政治历史事件不宜公开的档案、材料；涉及地方重大事件不宜公开的档案、材料。,0
1,涉及党和国家领导人以及各级领导干部和社会知名人物的政治历史和评价的档案、文稿和有关材料。,0
2,有关我党秘密工作的组织关系、工作方法、策略手段、情报来源等以及肃反镇反等历次政治运动不宜公开的档案、材料；,0
3,涉及党和国家军事、外事机密的档案、材料；,0
4,涉及我党和外国及其领导人关系以及有关国际共运的机密档案、材料；,0
5,涉及我国与邻国领土和边界问题以及中外产权、债权方面的档案、材料；,0
6,不利于党的统战工作、不利于国内民族团结的档案、材料；涉及台、港、澳地区不宜公开的档案、材料；,0
7,涉及国家重要资源、经济利益等方面的档案、材料；,0
8,涉及国内行政区域之间边界问题，向社会开放后可能引发纠纷的档案、材料；,0
9,涉及准确记载我国风俗民情，向社会开放后可能资敌军事、经济战略或损害民族形象的档案、材料；,0
10,涉及外国机构在华形成的，向社会开放可能引起档案所有权纠纷的档案、材料；,0
11,市委市政府重要会议纪录和未公开的会议的重要档案及其有关材料；,0
12,司法、纪检、监察及有关组织对有关人员进行调查、处理的档案、材料；,0
13,涉及台、港、澳同胞和海外华侨个人的档案、材料；,0
14,涉及个人隐私、商业秘密等方面的档案、材料；,0
15,涉及著作权、发明权、专利权的档案材料；,0
16,寄存档案资料及其它业经约定应控制利用的档案、材料；,0
17,其它可能损害国家安全和利益、对他人或社会可能造成不利影响的档案、材料。,0
18,古典文学名著、古代文献、古代文书、古代地图、古代照片、古代音像资料等；,1
19,古代文化遗产、古代文物、古代建筑、古代遗址、古代墓葬等；,1
20,古代科学技术、古代医药、古代农业、古代工艺、古代商业、古代交通、古代通讯等；,1
21,现代文学名著、现代文献、现代文书、现代地图、现代照片、现代音像资料等；,1
22,往年新闻、往年期刊、往年报纸、往年广播、往年电视、往年网络等；,1
23,现代科学技术、现代医药、现代农业、现代工艺、现代商业、现代交通、现代通讯等；,1
24,现代社会生活、现代社会风俗、现代社会习俗、现代社会风气等；,1
25,现代社会经济、现代社会政治、现代社会文化、现代社会教育等；,1
26,各类年鉴、各类统计资料、各类调查资料、各类研究资料等；,1

